DATE,PCODE
20141210,0
20141211,0
20141212,1
20141213,11
20141214,110
20141215,100
20141216,0
20141217,0
20141218,0
20141219,1
20141220,11
20141221,110
20141222,100
20141223,0
20141224,1
20141225,01S
20141226,101
20141227,11
20141228,110
20141229,100
20141230,0
20141231,1
20150101,01S
20150102,101
20150103,11
20150104,110
20150105,100
20150106,0
20150107,0
20150108,0
20150109,1
20150110,11
20150111,110
20150112,100
20150113,0
20150114,0
20150115,0
20150116,1
20150117,11
20150118,110
20150119,100
20150120,0
20150121,0
20150122,0
20150123,1
20150124,11
20150125,110
20150126,100
20150127,0
20150128,0
20150129,0
20150130,1
20150131,11
20150201,110
20150202,100
20150203,0
20150204,0
20150205,0
20150206,1
20150207,11
20150208,110
20150209,100
20150210,0
20150211,0
20150212,0
20150213,1
20150214,11
20150215,110
20150216,100
20150217,1
20150218,A-1
20150219,A0
20150220,A+1
20150221,A+2
20150222,A
20150223,A
20150224,0
20150225,0
20150226,0
20150227,1
20150228,11
20150301,110
20150302,100
20150303,0
20150304,0
20150305,0
20150306,1
20150307,11
20150308,110
20150309,100
20150310,0
20150311,0
20150312,0
20150313,1
20150314,11
20150315,110
20150316,100
20150317,0
20150318,0
20150319,0
20150320,1
20150321,11
20150322,110
20150323,100
20150324,0
20150325,0
20150326,0
20150327,1
20150328,11
20150329,110
20150330,100
20150331,0
20150401,0
20150402,0
20150403,1
20150404,11
20150405,110
20150406,100
20150407,0
20150408,0
20150409,0
20150410,1
20150411,11
20150412,110
20150413,100
20150414,0
20150415,0
20150416,0
20150417,1
20150418,11
20150419,110
20150420,100
20150421,0
20150422,0
20150423,0
20150424,1
20150425,11
20150426,110
20150427,100
20150428,0
20150429,0
20150430,0
20150501,1
20150502,12
20150503,110
20150504,101
20150505,S10
20150506,100
20150507,0
20150508,1
20150509,11
20150510,110
20150511,100
20150512,0
20150513,0
20150514,0
20150515,1
20150516,11
20150517,110
20150518,100
20150519,0
20150520,0
20150521,0
20150522,1
20150523,12
20150524,111
20150525,110
20150526,100
20150527,0
20150528,0
20150529,1
20150530,11
20150531,110
20150601,100
20150602,0
20150603,0
20150604,0
20150605,1
20150606,11
20150607,110
20150608,100
20150609,0
20150610,0
20150611,0
20150612,1
20150613,11
20150614,110
20150615,100
20150616,0
20150617,0
20150618,0
20150619,1
20150620,11
20150621,110
20150622,100
20150623,0
20150624,0
20150625,0
20150626,1
20150627,11
20150628,110
20150629,100
20150630,0
20150701,0
20150702,0
20150703,1
20150704,11
20150705,110
20150706,100
20150707,0
20150708,0
20150709,0
20150710,1
20150711,11
20150712,110
20150713,100
20150714,0
20150715,0
20150716,0
20150717,1
20150718,11
20150719,110
20150720,100
20150721,0
20150722,0
20150723,0
20150724,1
20150725,11
20150726,110
20150727,100
20150728,0
20150729,0
20150730,0
20150731,1
20150801,11
20150802,110
20150803,100
20150804,0
20150805,0
20150806,0
20150807,1
20150808,11
20150809,110
20150810,100
20150811,0
20150812,0
20150813,1
20150814,12
20150815,111
20150816,110
20150817,100
20150818,0
20150819,0
20150820,0
20150821,1
20150822,11
20150823,110
20150824,100
20150825,0
20150826,0
20150827,0
20150828,1
20150829,11
20150830,110
20150831,100
20150901,0
20150902,0
20150903,0
20150904,1
20150905,11
20150906,110
20150907,100
20150908,0
20150909,0
20150910,0
20150911,1
20150912,11
20150913,110
20150914,100
20150915,0
20150916,0
20150917,0
20150918,1
20150919,11
20150920,110
20150921,100
20150922,0
20150923,0
20150924,0
20150925,1
20150926,A-1
20150927,A0
20150928,A+1
20150929,A+2
20150930,A
20151001,A
20151002,1
20151003,11
20151004,110
20151005,100
20151006,0
20151007,0
20151008,1
20151009,12
20151010,111
20151011,110
20151012,100
20151013,0
20151014,0
20151015,0
20151016,1
20151017,11
20151018,110
20151019,100
20151020,0
20151021,0
20151022,0
20151023,1
20151024,11
20151025,110
20151026,100
20151027,0
20151028,0
20151029,0
20151030,1
20151031,11
20151101,110
20151102,100
20151103,0
20151104,0
20151105,0
20151106,1
20151107,11
20151108,110
20151109,100
20151110,0
20151111,0
20151112,0
20151113,1
20151114,11
20151115,110
20151116,100
20151117,0
20151118,0
